text,label
"Lawmakers debated the upcoming census for several hours on Monday before reaching a preliminary agreement. a spokesperson for the White House said the next formal vote is scheduled within 14 weeks. Several committee members requested additional data before final approval, and a public comment period will follow.",REAL
YOU WON'T BELIEVE what they don't want you to know about immigration reform!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
"According to a court filing, the economy has been under review since early this year, with a formal decision expected by the end of the 10-month evaluation period. The agency said it would publish its full findings once the review concludes, in line with standard procedure.",REAL
Doctors HATE this one simple fact about the upcoming census that could change your life forever! The government has been covering this up for decades and NOW the truth is finally coming out. Forward this to everyone you know before they take it down!,FAKE
YOU WON'T BELIEVE what they don't want you to know about the space program's next mission!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
"According to the Bureau of Labor Statistics, the defense budget has been under review since early this year, with a formal decision expected by the end of the 22-month evaluation period. The agency said it would publish its full findings once the review concludes, in line with standard procedure.",REAL
"BREAKING: Secret documents EXPOSE the real agenda behind the presidential election. A whistleblower who wishes to remain anonymous says this changes EVERYTHING. Wake up, people — they have been LYING to us for years and this PROVES it beyond any doubt!",FAKE
"Officials confirmed on Tuesday that climate policy will move forward after a review by Reuters, according to a statement released this week. The measure passed with a vote of 33 to 114, and is expected to take effect over the next 5 months. Analysts at several independent research firms said the impact would likely be gradual, citing prior similar measures.",REAL
"BREAKING: Secret documents EXPOSE the real agenda behind a new labor law. A whistleblower who wishes to remain anonymous says this changes EVERYTHING. Wake up, people — they have been LYING to us for years and this PROVES it beyond any doubt!",FAKE
"Officials confirmed on Thursday that the education budget will move forward after a review by the Congressional Budget Office, according to a statement released this week. The measure passed with a vote of 374 to 188, and is expected to take effect over the next 13 months. Analysts at several independent research firms said the impact would likely be gradual, citing prior similar measures.",REAL
"Officials confirmed on Tuesday that climate policy will move forward after a review by a spokesperson for the White House, according to a statement released this week. The measure passed with a vote of 304 to 248, and is expected to take effect over the next 19 months. Analysts at several independent research firms said the impact would likely be gradual, citing prior similar measures.",REAL
"Officials confirmed on Tuesday that the defense budget will move forward after a review by the Bureau of Labor Statistics, according to a statement released this week. The measure passed with a vote of 384 to 47, and is expected to take effect over the next 14 months. Analysts at several independent research firms said the impact would likely be gradual, citing prior similar measures.",REAL
A report published by a court filing on the state of the judiciary shows a change of 1.7% compared to last year. The data was compiled from 15 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
YOU WON'T BELIEVE what they don't want you to know about climate policy!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
A report published by the Federal Reserve on the new healthcare bill shows a change of 1.1% compared to last year. The data was compiled from 19 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
"BREAKING: Secret documents EXPOSE the real agenda behind the state of the judiciary. A whistleblower who wishes to remain anonymous says this changes EVERYTHING. Wake up, people — they have been LYING to us for years and this PROVES it beyond any doubt!",FAKE
A report published by the National Weather Service on the central bank's interest rate decision shows a change of 11.3% compared to last year. The data was compiled from 248 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
"BREAKING: Secret documents EXPOSE the real agenda behind the agriculture subsidy program. A whistleblower who wishes to remain anonymous says this changes EVERYTHING. Wake up, people — they have been LYING to us for years and this PROVES it beyond any doubt!",FAKE
A report published by the Bureau of Labor Statistics on the upcoming census shows a change of 7.1% compared to last year. The data was compiled from 326 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
YOU WON'T BELIEVE what they don't want you to know about immigration reform!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
YOU WON'T BELIEVE what they don't want you to know about immigration reform!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
SHOCKING new evidence about the tech industry that NO ONE is talking about! A source close to the situation says this is just the tip of the iceberg. This is bigger than anyone imagined and the mainstream media REFUSES to cover it. Wake up and share NOW!,FAKE
"According to a court filing, the housing market has been under review since early this year, with a formal decision expected by the end of the 4-month evaluation period. The agency said it would publish its full findings once the review concludes, in line with standard procedure.",REAL
"Officials confirmed on Thursday that the tech industry will move forward after a review by the National Weather Service, according to a statement released this week. The measure passed with a vote of 151 to 36, and is expected to take effect over the next 14 months. Analysts at several independent research firms said the impact would likely be gradual, citing prior similar measures.",REAL
"Officials confirmed on Thursday that the tech industry will move forward after a review by a court filing, according to a statement released this week. The measure passed with a vote of 203 to 92, and is expected to take effect over the next 21 months. Analysts at several independent research firms said the impact would likely be gradual, citing prior similar measures.",REAL
A report published by Reuters on the tech industry shows a change of 8.6% compared to last year. The data was compiled from 44 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
"BREAKING: Secret documents EXPOSE the real agenda behind the education budget. A whistleblower who wishes to remain anonymous says this changes EVERYTHING. Wake up, people — they have been LYING to us for years and this PROVES it beyond any doubt!",FAKE
A report published by the Federal Reserve on the agriculture subsidy program shows a change of 10.0% compared to last year. The data was compiled from 131 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
A report published by a court filing on the education budget shows a change of 7.2% compared to last year. The data was compiled from 82 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
"Lawmakers debated the space program's next mission for several hours on Wednesday before reaching a preliminary agreement. the Congressional Budget Office said the next formal vote is scheduled within 3 weeks. Several committee members requested additional data before final approval, and a public comment period will follow.",REAL
"BREAKING: Secret documents EXPOSE the real agenda behind a major merger between two airlines. A whistleblower who wishes to remain anonymous says this changes EVERYTHING. Wake up, people — they have been LYING to us for years and this PROVES it beyond any doubt!",FAKE
"Lawmakers debated a new labor law for several hours on Friday before reaching a preliminary agreement. Reuters said the next formal vote is scheduled within 10 weeks. Several committee members requested additional data before final approval, and a public comment period will follow.",REAL
A report published by the Bureau of Labor Statistics on immigration reform shows a change of 1.5% compared to last year. The data was compiled from 353 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
A report published by a spokesperson for the White House on a new labor law shows a change of 6.5% compared to last year. The data was compiled from 246 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
YOU WON'T BELIEVE what they don't want you to know about the national vaccine rollout!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
A report published by the Bureau of Labor Statistics on the economy shows a change of 5.5% compared to last year. The data was compiled from 269 separate regional offices and reviewed by independent economists before release. Officials cautioned that the figures could be revised as more information becomes available in the coming quarter.,REAL
"According to the National Weather Service, immigration reform has been under review since early this year, with a formal decision expected by the end of the 13-month evaluation period. The agency said it would publish its full findings once the review concludes, in line with standard procedure.",REAL
Doctors HATE this one simple fact about the defense budget that could change your life forever! The government has been covering this up for decades and NOW the truth is finally coming out. Forward this to everyone you know before they take it down!,FAKE
SHOCKING new evidence about climate policy that NO ONE is talking about! A source close to the situation says this is just the tip of the iceberg. This is bigger than anyone imagined and the mainstream media REFUSES to cover it. Wake up and share NOW!,FAKE
"Officials confirmed on Tuesday that the space program's next mission will move forward after a review by Reuters, according to a statement released this week. The measure passed with a vote of 191 to 299, and is expected to take effect over the next 18 months. Analysts at several independent research firms said the impact would likely be gradual, citing prior similar measures.",REAL
YOU WON'T BELIEVE what they don't want you to know about the education budget!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
SHOCKING new evidence about the presidential election that NO ONE is talking about! A source close to the situation says this is just the tip of the iceberg. This is bigger than anyone imagined and the mainstream media REFUSES to cover it. Wake up and share NOW!,FAKE
YOU WON'T BELIEVE what they don't want you to know about the presidential election!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
YOU WON'T BELIEVE what they don't want you to know about the new healthcare bill!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
"BREAKING: Secret documents EXPOSE the real agenda behind the national vaccine rollout. A whistleblower who wishes to remain anonymous says this changes EVERYTHING. Wake up, people — they have been LYING to us for years and this PROVES it beyond any doubt!",FAKE
YOU WON'T BELIEVE what they don't want you to know about climate policy!!! Insiders REVEAL the SHOCKING truth that mainstream media is HIDING from you. Share this before it gets DELETED — everyone needs to see this NOW before it's too late!,FAKE
"Lawmakers debated the defense budget for several hours on Thursday before reaching a preliminary agreement. the National Weather Service said the next formal vote is scheduled within 9 weeks. Several committee members requested additional data before final approval, and a public comment period will follow.",REAL
Doctors HATE this one simple fact about the economy that could change your life forever! The government has been covering this up for decades and NOW the truth is finally coming out. Forward this to everyone you know before they take it down!,FAKE
"According to a Treasury Department spokesperson, climate policy has been under review since early this year, with a formal decision expected by the end of the 6-month evaluation period. The agency said it would publish its full findings once the review concludes, in line with standard procedure.",REAL
SHOCKING new evidence about a public transportation overhaul that NO ONE is talking about! A source close to the situation says this is just the tip of the iceberg. This is bigger than anyone imagined and the mainstream media REFUSES to cover it. Wake up and share NOW!,FAKE
SHOCKING new evidence about renewable energy investment that NO ONE is talking about! A source close to the situation says this is just the tip of the iceberg. This is bigger than anyone imagined and the mainstream media REFUSES to cover it. Wake up and share NOW!,FAKE
"BREAKING: Secret documents EXPOSE the real agenda behind the central bank's interest rate decision. A whistleblower who wishes to remain anonymous says this changes EVERYTHING. Wake up, people — they have been LYING to us for years and this PROVES it beyond any doubt!",FAKE
"Lawmakers debated a public transportation overhaul for several hours on Thursday before reaching a preliminary agreement. Reuters said the next formal vote is scheduled within 16 weeks. Several committee members requested additional data before final approval, and a public comment period will follow.",REAL
